slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,trending,4,3,0.75,,,,,,,17.2,15.79,14.41
regime_label,baseline_random_walk,trending,4,0,0.0,,,,,,,9.91,10.23,9.91
regime_label,baseline_simple_technical,trending,4,4,1.0,,,,,,,8.0,7.98,8.0
regime_label,ugh_v2_alpha,trending,4,4,1.0,3,0.75,0,0.0,,,9.76,9.86,9.76
regime_label,ugh_v2_beta,trending,4,3,0.75,2,0.5,0,0.0,,,11.4,10.85,11.4
regime_label,ugh_v2_delta,trending,4,3,0.75,2,0.5,0,0.0,,,11.03,10.4,11.03
regime_label,ugh_v2_gamma,trending,4,4,1.0,3,0.75,0,0.0,,,9.69,9.77,9.69
volatility_label,baseline_prev_day_direction,low,2,2,1.0,,,,,,,15.79,15.79,15.79
volatility_label,baseline_prev_day_direction,normal,2,1,0.5,,,,,,,18.6,18.6,13.03
volatility_label,baseline_random_walk,low,2,0,0.0,,,,,,,9.6,9.6,9.6
volatility_label,baseline_random_walk,normal,2,0,0.0,,,,,,,10.23,10.23,10.23
volatility_label,baseline_simple_technical,low,2,2,1.0,,,,,,,8.45,8.45,8.45
volatility_label,baseline_simple_technical,normal,2,2,1.0,,,,,,,7.55,7.55,7.55
volatility_label,ugh_v2_alpha,low,2,2,1.0,1,0.5,0,0.0,,,9.86,9.86,9.86
volatility_label,ugh_v2_alpha,normal,2,2,1.0,2,1.0,0,0.0,,,9.65,9.65,9.65
volatility_label,ugh_v2_beta,low,2,2,1.0,1,0.5,0,0.0,,,10.85,10.85,10.85
volatility_label,ugh_v2_beta,normal,2,1,0.5,1,0.5,0,0.0,,,11.94,11.94,11.94
volatility_label,ugh_v2_delta,low,2,2,1.0,1,0.5,0,0.0,,,10.4,10.4,10.4
volatility_label,ugh_v2_delta,normal,2,1,0.5,1,0.5,0,0.0,,,11.66,11.66,11.66
volatility_label,ugh_v2_gamma,low,2,2,1.0,1,0.5,0,0.0,,,9.77,9.77,9.77
volatility_label,ugh_v2_gamma,normal,2,2,1.0,2,1.0,0,0.0,,,9.6,9.6,9.6
intervention_risk,baseline_prev_day_direction,low,4,3,0.75,,,,,,,17.2,15.79,14.41
intervention_risk,baseline_random_walk,low,4,0,0.0,,,,,,,9.91,10.23,9.91
intervention_risk,baseline_simple_technical,low,4,4,1.0,,,,,,,8.0,7.98,8.0
intervention_risk,ugh_v2_alpha,low,4,4,1.0,3,0.75,0,0.0,,,9.76,9.86,9.76
intervention_risk,ugh_v2_beta,low,4,3,0.75,2,0.5,0,0.0,,,11.4,10.85,11.4
intervention_risk,ugh_v2_delta,low,4,3,0.75,2,0.5,0,0.0,,,11.03,10.4,11.03
intervention_risk,ugh_v2_gamma,low,4,4,1.0,3,0.75,0,0.0,,,9.69,9.77,9.69
