strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,85,46,0.5412,,,,,33.39,24.55,22.22,2026-07-30T09:28:40Z
baseline_random_walk,85,0,0.0,,,,,21.02,15.1,21.02,2026-07-30T09:28:40Z
baseline_simple_technical,85,54,0.6353,,,,,29.61,22.77,17.68,2026-07-30T09:28:40Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-07-30T09:28:40Z
ugh_v2_alpha,59,38,0.6441,40,0.678,37,0.6271,18.5,11.3,14.92,2026-07-30T09:28:40Z
ugh_v2_beta,59,38,0.6441,36,0.6102,39,0.661,18.5,13.53,15.02,2026-07-30T09:28:40Z
ugh_v2_delta,59,39,0.661,38,0.6441,39,0.661,18.48,12.34,15.03,2026-07-30T09:28:40Z
ugh_v2_gamma,59,39,0.661,41,0.6949,39,0.661,18.3,11.61,14.87,2026-07-30T09:28:40Z
