evaluation_id,forecast_id,outcome_id,pair,strategy_kind,direction_hit,range_hit,close_error_bp,magnitude_error_bp,state_proxy_hit,state_correctness_hit,mismatch_change_bp,realized_state_proxy,actual_state_change,disconfirmers_hit,disconfirmer_explained,evaluated_at_utc,theory_version,engine_version,schema_version,protocol_version
ev_fc_USDJPY_20260729T080000_v1_baseline_prev_day_direction_de10fe9f49a29a4d_oc_USDJPY_20260729T080000_20260730T080000_v1_a64350c40eaa8fa0_v1_95214c59cff514ac,fc_USDJPY_20260729T080000_v1_baseline_prev_day_direction_de10fe9f49a29a4d,oc_USDJPY_20260729T080000_20260730T080000_v1_a64350c40eaa8fa0,USDJPY,baseline_prev_day_direction,False,,36.02353020033715,17.69396461104092,,,,,,,False,2026-07-30T07:38:10.081258+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260729T080000_v1_baseline_random_walk_2775265ace8d9cdb_oc_USDJPY_20260729T080000_20260730T080000_v1_a64350c40eaa8fa0_v1_1a863638f19e4d1c,fc_USDJPY_20260729T080000_v1_baseline_random_walk_2775265ace8d9cdb,oc_USDJPY_20260729T080000_20260730T080000_v1_a64350c40eaa8fa0,USDJPY,baseline_random_walk,False,,26.858747405689034,26.858747405689034,,,,,,,False,2026-07-30T07:38:10.081258+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260729T080000_v1_baseline_simple_technical_ef2505ef3b21f236_oc_USDJPY_20260729T080000_20260730T080000_v1_a64350c40eaa8fa0_v1_7d4f1affa7c9f75f,fc_USDJPY_20260729T080000_v1_baseline_simple_technical_ef2505ef3b21f236,oc_USDJPY_20260729T080000_20260730T080000_v1_a64350c40eaa8fa0,USDJPY,baseline_simple_technical,False,,48.427543586656014,5.289951224722056,,,,,,,False,2026-07-30T07:38:10.081258+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260729T080000_v1_ugh_v2_alpha_8b49905d97a7ab23_oc_USDJPY_20260729T080000_20260730T080000_v1_a64350c40eaa8fa0_v1_709026d7df3a7a4e,fc_USDJPY_20260729T080000_v1_ugh_v2_alpha_8b49905d97a7ab23,oc_USDJPY_20260729T080000_20260730T080000_v1_a64350c40eaa8fa0,USDJPY,ugh_v2_alpha,False,False,39.329313625668576,14.388181185709495,False,False,-39.329313625668576,failure,True,,False,2026-07-30T07:38:10.081258+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260729T080000_v1_ugh_v2_beta_35a687866cdb60e9_oc_USDJPY_20260729T080000_20260730T080000_v1_a64350c40eaa8fa0_v1_68cfbcd8d46b69ed,fc_USDJPY_20260729T080000_v1_ugh_v2_beta_35a687866cdb60e9,oc_USDJPY_20260729T080000_20260730T080000_v1_a64350c40eaa8fa0,USDJPY,ugh_v2_beta,False,False,38.263171014047934,15.454323797330131,False,False,-38.263171014047934,failure,True,,False,2026-07-30T07:38:10.081258+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260729T080000_v1_ugh_v2_delta_16c9fe79c233fe28_oc_USDJPY_20260729T080000_20260730T080000_v1_a64350c40eaa8fa0_v1_1e662c3f341dc7c4,fc_USDJPY_20260729T080000_v1_ugh_v2_delta_16c9fe79c233fe28,oc_USDJPY_20260729T080000_20260730T080000_v1_a64350c40eaa8fa0,USDJPY,ugh_v2_delta,False,False,38.768837491624986,14.948657319753082,False,False,-38.768837491624986,failure,True,,False,2026-07-30T07:38:10.081258+00:00,v2,v2.5,v1,v1
ev_fc_USDJPY_20260729T080000_v1_ugh_v2_gamma_54f9f2a8578b4e84_oc_USDJPY_20260729T080000_20260730T080000_v1_a64350c40eaa8fa0_v1_373d0bbf34558d44,fc_USDJPY_20260729T080000_v1_ugh_v2_gamma_54f9f2a8578b4e84,oc_USDJPY_20260729T080000_20260730T080000_v1_a64350c40eaa8fa0,USDJPY,ugh_v2_gamma,False,False,38.49519369476486,15.22230111661321,False,False,-38.49519369476486,failure,True,,False,2026-07-30T07:38:10.081258+00:00,v2,v2.5,v1,v1
