strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
baseline_prev_day_direction,5,4,0.8,,,,,,,34.84,29.61,29.68
baseline_random_walk,5,0,0.0,,,,,,,26.18,30.23,26.18
baseline_simple_technical,5,3,0.6,,,,,,,30.5,26.68,17.43
ugh_v2_alpha,5,3,0.6,0,0.0,3,0.6,1,0.2,28.83,26.64,25.73
ugh_v2_beta,5,2,0.4,0,0.0,4,0.8,2,0.4,30.35,30.23,25.73
ugh_v2_delta,5,3,0.6,0,0.0,4,0.8,2,0.4,29.22,27.05,25.28
ugh_v2_gamma,5,3,0.6,0,0.0,3,0.6,1,0.2,28.8,26.71,25.8
