strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,105,55,0.5238,,,,,39.11,25.81,26.58,2026-08-27T18:05:40Z
baseline_random_walk,105,0,0.0,,,,,24.78,14.99,24.78,2026-08-27T18:05:40Z
baseline_simple_technical,105,60,0.5714,,,,,36.84,26.58,22.07,2026-08-27T18:05:40Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-08-27T18:05:40Z
ugh_v2_alpha,79,44,0.557,57,0.7215,53,0.6709,25.56,12.51,19.96,2026-08-27T18:05:40Z
ugh_v2_beta,79,45,0.5696,53,0.6709,55,0.6962,25.3,13.79,20.26,2026-08-27T18:05:40Z
ugh_v2_delta,79,44,0.557,55,0.6962,55,0.6962,25.46,13.25,20.15,2026-08-27T18:05:40Z
ugh_v2_gamma,79,45,0.5696,58,0.7342,55,0.6962,25.34,12.34,20.0,2026-08-27T18:05:40Z
