evaluation_id,forecast_id,outcome_id,pair,strategy_kind,direction_hit,range_hit,close_error_bp,magnitude_error_bp,state_proxy_hit,state_correctness_hit,mismatch_change_bp,realized_state_proxy,actual_state_change,disconfirmers_hit,disconfirmer_explained,evaluated_at_utc,theory_version,engine_version,schema_version,protocol_version
ev_fc_USDJPY_20260826T080000_v1_baseline_prev_day_direction_620e872d56ff5015_oc_USDJPY_20260826T080000_20260827T080000_v1_64a741d85f3714b5_v1_5ed4c6c8721f4c94,fc_USDJPY_20260826T080000_v1_baseline_prev_day_direction_620e872d56ff5015,oc_USDJPY_20260826T080000_20260827T080000_v1_64a741d85f3714b5,USDJPY,baseline_prev_day_direction,True,,0.6360426574815836,0.6360426574815836,,,,,,,False,2026-08-27T16:19:58.322873+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260826T080000_v1_baseline_random_walk_5ec588d90efbf159_oc_USDJPY_20260826T080000_20260827T080000_v1_64a741d85f3714b5_v1_90bd17d2fea3354c,fc_USDJPY_20260826T080000_v1_baseline_random_walk_5ec588d90efbf159,oc_USDJPY_20260826T080000_20260827T080000_v1_64a741d85f3714b5,USDJPY,baseline_random_walk,False,,8.167881377230174,8.167881377230174,,,,,,,False,2026-08-27T16:19:58.322873+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260826T080000_v1_baseline_simple_technical_d010e0aa93145266_oc_USDJPY_20260826T080000_20260827T080000_v1_64a741d85f3714b5_v1_11f1b1fffd4a9112,fc_USDJPY_20260826T080000_v1_baseline_simple_technical_d010e0aa93145266,oc_USDJPY_20260826T080000_20260827T080000_v1_64a741d85f3714b5,USDJPY,baseline_simple_technical,False,,49.87480047762122,33.539037723160874,,,,,,,False,2026-08-27T16:19:58.322873+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260826T080000_v1_ugh_v2_alpha_d62d7db262515f39_oc_USDJPY_20260826T080000_20260827T080000_v1_64a741d85f3714b5_v1_3de3f29c410a3994,fc_USDJPY_20260826T080000_v1_ugh_v2_alpha_d62d7db262515f39,oc_USDJPY_20260826T080000_20260827T080000_v1_64a741d85f3714b5,USDJPY,ugh_v2_alpha,True,True,3.619261804592351,3.619261804592351,True,True,3.619261804592351,setup,False,,False,2026-08-27T16:19:58.322873+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260826T080000_v1_ugh_v2_beta_90c7d5d68c5d631a_oc_USDJPY_20260826T080000_20260827T080000_v1_64a741d85f3714b5_v1_b48d9a18b57e7dab,fc_USDJPY_20260826T080000_v1_ugh_v2_beta_90c7d5d68c5d631a,oc_USDJPY_20260826T080000_20260827T080000_v1_64a741d85f3714b5,USDJPY,ugh_v2_beta,True,True,1.9731699110297045,1.9731699110297045,True,True,1.9731699110297045,setup,False,,False,2026-08-27T16:19:58.322873+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260826T080000_v1_ugh_v2_delta_ea7c24ddccf88b75_oc_USDJPY_20260826T080000_20260827T080000_v1_64a741d85f3714b5_v1_0cdc1ea6ed38967a,fc_USDJPY_20260826T080000_v1_ugh_v2_delta_ea7c24ddccf88b75,oc_USDJPY_20260826T080000_20260827T080000_v1_64a741d85f3714b5,USDJPY,ugh_v2_delta,True,True,2.8137869092896173,2.8137869092896173,True,True,2.8137869092896173,setup,False,,False,2026-08-27T16:19:58.322873+00:00,v2,v2.6,v1,v1
ev_fc_USDJPY_20260826T080000_v1_ugh_v2_gamma_b50813718d5c6676_oc_USDJPY_20260826T080000_20260827T080000_v1_64a741d85f3714b5_v1_8e4977c3e6a1889a,fc_USDJPY_20260826T080000_v1_ugh_v2_gamma_b50813718d5c6676,oc_USDJPY_20260826T080000_20260827T080000_v1_64a741d85f3714b5,USDJPY,ugh_v2_gamma,True,True,3.6974218350051835,3.6974218350051835,True,True,3.6974218350051835,setup,False,,False,2026-08-27T16:19:58.322873+00:00,v2,v2.6,v1,v1
