strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,75,39,0.52,,,,,34.6,24.55,22.28,2026-07-16T09:11:54Z
baseline_random_walk,75,0,0.0,,,,,21.84,15.59,21.84,2026-07-16T09:11:54Z
baseline_simple_technical,75,46,0.6133,,,,,30.64,24.32,17.74,2026-07-16T09:11:54Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-07-16T09:11:54Z
ugh_v2_alpha,49,30,0.6122,33,0.6735,28,0.5714,19.0,11.66,15.27,2026-07-16T09:11:54Z
ugh_v2_beta,49,30,0.6122,29,0.5918,30,0.6122,18.88,13.53,15.24,2026-07-16T09:11:54Z
ugh_v2_delta,49,31,0.6327,31,0.6327,30,0.6122,18.94,12.34,15.34,2026-07-16T09:11:54Z
ugh_v2_gamma,49,31,0.6327,34,0.6939,30,0.6122,18.81,12.34,15.23,2026-07-16T09:11:54Z
