strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,direction_hit_excl_flat_count,direction_obs_excl_flat,direction_hit_excl_flat_rate
baseline_prev_day_direction,3,2,0.6667,,,,,,,6.93,3.15,3.57,2,3,0.6667
baseline_random_walk,3,0,0.0,,,,,,,9.64,8.8,9.64,0,0,
baseline_simple_technical,3,0,0.0,,,,,,,51.2,50.53,31.92,0,3,0.0
ugh_v2_alpha,3,2,0.6667,3,1.0,3,1.0,3,1.0,6.88,5.06,6.88,2,2,1.0
ugh_v2_beta,3,2,0.6667,3,1.0,3,1.0,3,1.0,5.44,2.39,5.44,2,2,1.0
ugh_v2_delta,3,2,0.6667,3,1.0,3,1.0,3,1.0,6.18,3.76,6.18,2,2,1.0
ugh_v2_gamma,3,2,0.6667,3,1.0,3,1.0,3,1.0,6.88,4.97,6.88,2,2,1.0
