slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,trending,4,3,0.75,,,,,,,36.31,36.38,29.85
regime_label,baseline_random_walk,trending,4,0,0.0,,,,,,,22.25,21.57,22.25
regime_label,baseline_simple_technical,trending,4,3,0.75,,,,,,,22.72,23.4,16.26
regime_label,ugh_v2_alpha,trending,4,3,0.75,0,0.0,2,0.5,0,0.0,25.57,23.65,21.7
regime_label,ugh_v2_beta,trending,4,2,0.5,0,0.0,3,0.75,1,0.25,27.46,27.34,21.7
regime_label,ugh_v2_delta,trending,4,3,0.75,0,0.0,3,0.75,1,0.25,26.05,24.91,21.13
regime_label,ugh_v2_gamma,trending,4,3,0.75,0,0.0,2,0.5,0,0.0,25.53,23.57,21.77
volatility_label,baseline_prev_day_direction,low,2,1,0.5,,,,,,,43.89,43.89,30.97
volatility_label,baseline_prev_day_direction,normal,2,2,1.0,,,,,,,28.74,28.74,28.74
volatility_label,baseline_random_walk,low,2,0,0.0,,,,,,,6.77,6.77,6.77
volatility_label,baseline_random_walk,normal,2,0,0.0,,,,,,,37.74,37.74,37.74
volatility_label,baseline_simple_technical,low,2,1,0.5,,,,,,,26.98,26.98,14.07
volatility_label,baseline_simple_technical,normal,2,2,1.0,,,,,,,18.45,18.45,18.45
volatility_label,ugh_v2_alpha,low,2,1,0.5,0,0.0,1,0.5,0,0.0,19.5,19.5,11.76
volatility_label,ugh_v2_alpha,normal,2,2,1.0,0,0.0,1,0.5,0,0.0,31.64,31.64,31.64
volatility_label,ugh_v2_beta,low,2,1,0.5,0,0.0,2,1.0,1,0.5,23.13,23.13,11.6
volatility_label,ugh_v2_beta,normal,2,1,0.5,0,0.0,1,0.5,0,0.0,31.79,31.79,31.79
volatility_label,ugh_v2_delta,low,2,1,0.5,0,0.0,2,1.0,1,0.5,21.4,21.4,11.56
volatility_label,ugh_v2_delta,normal,2,2,1.0,0,0.0,1,0.5,0,0.0,30.7,30.7,30.7
volatility_label,ugh_v2_gamma,low,2,1,0.5,0,0.0,1,0.5,0,0.0,19.32,19.32,11.81
volatility_label,ugh_v2_gamma,normal,2,2,1.0,0,0.0,1,0.5,0,0.0,31.74,31.74,31.74
intervention_risk,baseline_prev_day_direction,low,4,3,0.75,,,,,,,36.31,36.38,29.85
intervention_risk,baseline_random_walk,low,4,0,0.0,,,,,,,22.25,21.57,22.25
intervention_risk,baseline_simple_technical,low,4,3,0.75,,,,,,,22.72,23.4,16.26
intervention_risk,ugh_v2_alpha,low,4,3,0.75,0,0.0,2,0.5,0,0.0,25.57,23.65,21.7
intervention_risk,ugh_v2_beta,low,4,2,0.5,0,0.0,3,0.75,1,0.25,27.46,27.34,21.7
intervention_risk,ugh_v2_delta,low,4,3,0.75,0,0.0,3,0.75,1,0.25,26.05,24.91,21.13
intervention_risk,ugh_v2_gamma,low,4,3,0.75,0,0.0,2,0.5,0,0.0,25.53,23.57,21.77
