slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,trending,4,1,0.25,,,,,,,69.07,64.88,28.07
regime_label,baseline_random_walk,trending,4,0,0.0,,,,,,,43.53,35.05,43.53
regime_label,baseline_simple_technical,trending,4,1,0.25,,,,,,,63.28,52.73,29.26
regime_label,ugh_v2_alpha,trending,4,0,0.0,4,1.0,3,0.75,2,0.5,48.37,44.72,38.69
regime_label,ugh_v2_beta,trending,4,1,0.25,4,1.0,3,0.75,2,0.5,48.98,45.4,35.85
regime_label,ugh_v2_delta,trending,4,0,0.0,4,1.0,3,0.75,2,0.5,49.54,45.28,37.52
regime_label,ugh_v2_gamma,trending,4,0,0.0,4,1.0,3,0.75,2,0.5,47.61,43.21,39.45
volatility_label,baseline_prev_day_direction,high,1,0,0.0,,,,,,,104.03,104.03,76.42
volatility_label,baseline_prev_day_direction,normal,3,1,0.3333,,,,,,,57.42,25.73,11.96
volatility_label,baseline_random_walk,high,1,0,0.0,,,,,,,90.23,90.23,90.23
volatility_label,baseline_random_walk,normal,3,0,0.0,,,,,,,27.96,13.82,27.96
volatility_label,baseline_simple_technical,high,1,1,1.0,,,,,,,54.22,54.22,54.22
volatility_label,baseline_simple_technical,normal,3,0,0.0,,,,,,,66.3,51.24,20.94
volatility_label,ugh_v2_alpha,high,1,0,0.0,1,1.0,1,1.0,0,0.0,90.23,90.23,90.23
volatility_label,ugh_v2_alpha,normal,3,0,0.0,3,1.0,2,0.6667,2,0.6667,34.42,23.96,21.51
volatility_label,ugh_v2_beta,high,1,0,0.0,1,1.0,1,1.0,0,0.0,95.77,95.77,84.69
volatility_label,ugh_v2_beta,normal,3,1,0.3333,3,1.0,2,0.6667,2,0.6667,33.38,20.85,19.57
volatility_label,ugh_v2_delta,high,1,0,0.0,1,1.0,1,1.0,0,0.0,93.79,93.79,86.66
volatility_label,ugh_v2_delta,normal,3,0,0.0,3,1.0,2,0.6667,2,0.6667,34.79,22.29,21.14
volatility_label,ugh_v2_gamma,high,1,0,0.0,1,1.0,1,1.0,0,0.0,90.23,90.23,90.23
volatility_label,ugh_v2_gamma,normal,3,0,0.0,3,1.0,2,0.6667,2,0.6667,33.41,22.41,22.52
intervention_risk,baseline_prev_day_direction,low,2,1,0.5,,,,,,,12.87,12.87,0.96
intervention_risk,baseline_prev_day_direction,medium,2,0,0.0,,,,,,,125.26,125.26,55.19
intervention_risk,baseline_random_walk,low,2,0,0.0,,,,,,,13.81,13.81,13.81
intervention_risk,baseline_random_walk,medium,2,0,0.0,,,,,,,73.25,73.25,73.25
intervention_risk,baseline_simple_technical,low,2,0,0.0,,,,,,,51.1,51.1,23.48
intervention_risk,baseline_simple_technical,medium,2,1,0.5,,,,,,,75.46,75.46,35.04
intervention_risk,ugh_v2_alpha,low,2,0,0.0,2,1.0,2,1.0,2,1.0,18.88,18.88,8.74
intervention_risk,ugh_v2_alpha,medium,2,0,0.0,2,1.0,1,0.5,0,0.0,77.86,77.86,68.64
intervention_risk,ugh_v2_beta,low,2,1,0.5,2,1.0,2,1.0,2,1.0,15.1,15.1,8.07
intervention_risk,ugh_v2_beta,medium,2,0,0.0,2,1.0,1,0.5,0,0.0,82.86,82.86,63.63
intervention_risk,ugh_v2_delta,low,2,0,0.0,2,1.0,2,1.0,2,1.0,18.05,18.05,9.57
intervention_risk,ugh_v2_delta,medium,2,0,0.0,2,1.0,1,0.5,0,0.0,81.03,81.03,65.46
intervention_risk,ugh_v2_gamma,low,2,0,0.0,2,1.0,2,1.0,2,1.0,18.11,18.11,9.51
intervention_risk,ugh_v2_gamma,medium,2,0,0.0,2,1.0,1,0.5,0,0.0,77.12,77.12,69.38
