strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,82,44,0.5366,,,,,34.07,25.18,22.71,2026-07-27T10:40:33Z
baseline_random_walk,82,0,0.0,,,,,21.32,15.2,21.32,2026-07-27T10:40:33Z
baseline_simple_technical,82,52,0.6341,,,,,29.68,22.93,17.83,2026-07-27T10:40:33Z
ugh,26,12,0.4615,16,0.6154,26,1.0,27.34,18.64,27.18,2026-07-27T10:40:33Z
ugh_v2_alpha,56,36,0.6429,38,0.6786,35,0.625,18.67,11.48,15.34,2026-07-27T10:40:33Z
ugh_v2_beta,56,36,0.6429,34,0.6071,37,0.6607,18.72,13.59,15.46,2026-07-27T10:40:33Z
ugh_v2_delta,56,37,0.6607,36,0.6429,37,0.6607,18.7,12.44,15.48,2026-07-27T10:40:33Z
ugh_v2_gamma,56,37,0.6607,39,0.6964,37,0.6607,18.49,11.78,15.29,2026-07-27T10:40:33Z
