slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,choppy,1,0,0.0,,,,,49.19,49.19,18.59
regime_label,baseline_random_walk,choppy,1,0,0.0,,,,,15.3,15.3,15.3
regime_label,baseline_simple_technical,trending,1,1,1.0,,,,,21.91,21.91,21.91
regime_label,ugh_v2_alpha,trending,1,1,1.0,,,0,0.0,11.14,11.14,11.14
regime_label,ugh_v2_beta,choppy,1,0,0.0,,,1,1.0,17.92,17.92,12.67
regime_label,ugh_v2_delta,trending,1,1,1.0,,,0,0.0,14.86,14.86,14.86
regime_label,ugh_v2_gamma,trending,1,1,1.0,,,0,0.0,11.28,11.28,11.28
regime_label,ugh_v2_ensemble,choppy,,,,1,1.0,,,,,
regime_label,ugh_v2_ensemble,trending,,,,1,1.0,,,,,
volatility_label,baseline_prev_day_direction,normal,1,0,0.0,,,,,49.19,49.19,18.59
volatility_label,baseline_random_walk,low,1,0,0.0,,,,,15.3,15.3,15.3
volatility_label,baseline_simple_technical,normal,1,1,1.0,,,,,21.91,21.91,21.91
volatility_label,ugh_v2_alpha,low,1,1,1.0,,,0,0.0,11.14,11.14,11.14
volatility_label,ugh_v2_beta,low,1,0,0.0,,,1,1.0,17.92,17.92,12.67
volatility_label,ugh_v2_delta,low,1,1,1.0,,,0,0.0,14.86,14.86,14.86
volatility_label,ugh_v2_gamma,low,1,1,1.0,,,0,0.0,11.28,11.28,11.28
volatility_label,ugh_v2_ensemble,low,,,,1,1.0,,,,,
intervention_risk,baseline_prev_day_direction,low,1,0,0.0,,,,,49.19,49.19,18.59
intervention_risk,baseline_random_walk,low,1,0,0.0,,,,,15.3,15.3,15.3
intervention_risk,baseline_simple_technical,low,1,1,1.0,,,,,21.91,21.91,21.91
intervention_risk,ugh_v2_alpha,low,1,1,1.0,,,0,0.0,11.14,11.14,11.14
intervention_risk,ugh_v2_beta,low,1,0,0.0,,,1,1.0,17.92,17.92,12.67
intervention_risk,ugh_v2_delta,low,1,1,1.0,,,0,0.0,14.86,14.86,14.86
intervention_risk,ugh_v2_gamma,low,1,1,1.0,,,0,0.0,11.28,11.28,11.28
intervention_risk,ugh_v2_ensemble,low,,,,1,1.0,,,,,
