evaluation_id,forecast_id,outcome_id,pair,strategy_kind,direction_hit,range_hit,close_error_bp,magnitude_error_bp,state_proxy_hit,mismatch_change_bp,realized_state_proxy,actual_state_change,disconfirmers_hit,disconfirmer_explained,evaluated_at_utc,theory_version,engine_version,schema_version,protocol_version
ev_fc_USDJPY_20260325T080000_v1_baseline_prev_day_direction_f56c754297956abd_oc_USDJPY_20260325T080000_20260326T080000_v1_98b9b38d61b6c31d_v1_489f8d25fe9ece85,fc_USDJPY_20260325T080000_v1_baseline_prev_day_direction_f56c754297956abd,oc_USDJPY_20260325T080000_20260326T080000_v1_98b9b38d61b6c31d,USDJPY,baseline_prev_day_direction,True,,31.47789762440477,31.47789762440477,,,,,,False,2026-03-25T23:25:22.308799+00:00,v1,v1,v1,v1
ev_fc_USDJPY_20260325T080000_v1_baseline_random_walk_3197b2dca3e884af_oc_USDJPY_20260325T080000_20260326T080000_v1_98b9b38d61b6c31d_v1_49acdf3fdf85df82,fc_USDJPY_20260325T080000_v1_baseline_random_walk_3197b2dca3e884af,oc_USDJPY_20260325T080000_20260326T080000_v1_98b9b38d61b6c31d,USDJPY,baseline_random_walk,False,,48.522276135863024,48.522276135863024,,,,,,False,2026-03-25T23:25:22.308799+00:00,v1,v1,v1,v1
ev_fc_USDJPY_20260325T080000_v1_baseline_simple_technical_a2896e26f7b1678c_oc_USDJPY_20260325T080000_20260326T080000_v1_98b9b38d61b6c31d_v1_93f3e7740e3756f8,fc_USDJPY_20260325T080000_v1_baseline_simple_technical_a2896e26f7b1678c,oc_USDJPY_20260325T080000_20260326T080000_v1_98b9b38d61b6c31d,USDJPY,baseline_simple_technical,True,,9.511792449719806,9.511792449719806,,,,,,False,2026-03-25T23:25:22.308799+00:00,v1,v1,v1,v1
ev_fc_USDJPY_20260325T080000_v1_ugh_2985069c7f2a73d0_oc_USDJPY_20260325T080000_20260326T080000_v1_98b9b38d61b6c31d_v1_e0e801869edc773c,fc_USDJPY_20260325T080000_v1_ugh_2985069c7f2a73d0,oc_USDJPY_20260325T080000_20260326T080000_v1_98b9b38d61b6c31d,USDJPY,ugh,True,False,48.288401135863026,48.288401135863026,True,48.288401135863026,setup,False,,False,2026-03-25T23:25:22.308799+00:00,v1,v1,v1,v1
