slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
regime_label,baseline_prev_day_direction,choppy,7,0,0.0,,,,,32.23,25.8,15.05
regime_label,baseline_prev_day_direction,trending,8,8,1.0,,,,,10.9,10.4,10.9
regime_label,baseline_random_walk,choppy,15,0,0.0,,,,,19.41,16.5,19.41
regime_label,baseline_simple_technical,choppy,9,0,0.0,,,,,60.98,59.94,19.19
regime_label,baseline_simple_technical,trending,6,6,1.0,,,,,23.52,23.92,23.52
regime_label,ugh_v2_alpha,choppy,7,0,0.0,,,6,0.8571,33.07,31.86,18.78
regime_label,ugh_v2_alpha,trending,8,8,1.0,,,5,0.625,9.92,8.82,9.92
regime_label,ugh_v2_beta,choppy,5,0,0.0,,,5,1.0,31.9,23.43,14.62
regime_label,ugh_v2_beta,trending,10,10,1.0,,,8,0.8,12.69,12.17,12.69
regime_label,ugh_v2_delta,choppy,5,0,0.0,,,5,1.0,32.41,23.0,14.95
regime_label,ugh_v2_delta,trending,10,10,1.0,,,7,0.7,13.7,12.23,13.7
regime_label,ugh_v2_gamma,choppy,6,0,0.0,,,6,1.0,32.06,26.59,16.04
regime_label,ugh_v2_gamma,trending,9,9,1.0,,,6,0.6667,12.21,11.28,12.21
regime_label,ugh_v2_ensemble,choppy,,,,8,1.0,,,,,
regime_label,ugh_v2_ensemble,trending,,,,11,1.0,,,,,
volatility_label,baseline_prev_day_direction,high,1,0,0.0,,,,,64.53,64.53,33.94
volatility_label,baseline_prev_day_direction,low,10,8,0.8,,,,,11.68,11.75,10.54
volatility_label,baseline_prev_day_direction,normal,4,0,0.0,,,,,32.88,28.9,13.3
volatility_label,baseline_random_walk,low,9,0,0.0,,,,,12.12,15.1,12.12
volatility_label,baseline_random_walk,normal,6,0,0.0,,,,,30.35,27.27,30.35
volatility_label,baseline_simple_technical,high,7,0,0.0,,,,,65.95,65.35,14.92
volatility_label,baseline_simple_technical,low,1,1,1.0,,,,,12.95,12.95,12.95
volatility_label,baseline_simple_technical,normal,7,5,0.7143,,,,,30.75,24.39,28.06
volatility_label,ugh_v2_alpha,high,1,0,0.0,,,1,1.0,65.55,65.55,32.92
volatility_label,ugh_v2_alpha,low,8,7,0.875,,,5,0.625,9.63,8.82,8.77
volatility_label,ugh_v2_alpha,normal,6,1,0.1667,,,5,0.8333,28.04,27.27,17.96
volatility_label,ugh_v2_beta,high,1,0,0.0,,,1,1.0,62.83,62.83,35.64
volatility_label,ugh_v2_beta,low,10,8,0.8,,,8,0.8,10.93,12.17,10.28
volatility_label,ugh_v2_beta,normal,4,2,0.5,,,4,1.0,28.55,27.51,15.37
volatility_label,ugh_v2_delta,high,1,0,0.0,,,1,1.0,64.76,64.76,33.71
volatility_label,ugh_v2_delta,low,9,8,0.8889,,,6,0.6667,10.48,12.13,10.23
volatility_label,ugh_v2_delta,normal,5,2,0.4,,,5,1.0,27.98,29.02,17.19
volatility_label,ugh_v2_gamma,high,1,0,0.0,,,1,1.0,64.8,64.8,33.68
volatility_label,ugh_v2_gamma,low,9,7,0.7778,,,6,0.6667,10.4,11.28,9.56
volatility_label,ugh_v2_gamma,normal,5,2,0.4,,,5,1.0,28.78,31.63,17.29
volatility_label,ugh_v2_ensemble,high,,,,1,1.0,,,,,
volatility_label,ugh_v2_ensemble,low,,,,10,1.0,,,,,
volatility_label,ugh_v2_ensemble,normal,,,,6,1.0,,,,,
intervention_risk,baseline_prev_day_direction,low,15,8,0.5333,,,,,20.85,15.73,12.84
intervention_risk,baseline_random_walk,low,15,0,0.0,,,,,19.41,16.5,19.41
intervention_risk,baseline_simple_technical,low,15,6,0.4,,,,,45.99,47.8,20.92
intervention_risk,ugh_v2_alpha,low,15,8,0.5333,,,11,0.7333,20.73,19.93,14.06
intervention_risk,ugh_v2_beta,low,15,10,0.6667,,,13,0.8667,19.09,17.61,13.33
intervention_risk,ugh_v2_delta,low,15,10,0.6667,,,12,0.8,19.93,17.64,14.11
intervention_risk,ugh_v2_gamma,low,15,9,0.6,,,12,0.8,20.15,18.95,13.74
intervention_risk,ugh_v2_ensemble,low,,,,15,1.0,,,,,
