strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
baseline_prev_day_direction,5,3,0.6,,,,,,,24.36,22.94,19.9
baseline_random_walk,5,0,0.0,,,,,,,17.16,15.59,17.16
baseline_simple_technical,5,4,0.8,,,,,,,13.95,12.21,11.72
ugh_v2_alpha,5,4,0.8,3,0.6,3,0.6,,,16.3,12.51,14.07
ugh_v2_beta,5,3,0.6,2,0.4,3,0.6,,,16.97,13.53,14.74
ugh_v2_delta,5,3,0.6,2,0.4,3,0.6,,,16.95,12.9,14.72
ugh_v2_gamma,5,4,0.8,4,0.8,3,0.6,,,16.34,12.34,14.11
