strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp
baseline_prev_day_direction,4,1,0.25,,,,,42.51,35.42,26.45
baseline_random_walk,4,0,0.0,,,,,24.8,18.26,24.8
baseline_simple_technical,4,2,0.5,,,,,44.67,34.49,23.97
ugh,4,2,0.5,3,0.75,4,1.0,24.78,18.29,24.75
