strategy_kind,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,direction_hit_excl_flat_count,direction_obs_excl_flat,direction_hit_excl_flat_rate
baseline_prev_day_direction,4,2,0.5,,,,,,,73.54,80.96,45.77,2,4,0.5
baseline_random_walk,4,0,0.0,,,,,,,53.11,42.61,53.11,0,0,
baseline_simple_technical,4,3,0.75,,,,,,,45.01,38.42,25.67,3,4,0.75
ugh_v2_alpha,4,2,0.5,3,0.75,3,0.75,1,0.25,61.43,66.56,38.79,2,3,0.6667
ugh_v2_beta,4,2,0.5,3,0.75,3,0.75,1,0.25,59.33,64.59,38.66,2,3,0.6667
ugh_v2_delta,4,2,0.5,3,0.75,3,0.75,1,0.25,60.31,65.5,38.74,2,3,0.6667
ugh_v2_gamma,4,2,0.5,3,0.75,3,0.75,1,0.25,61.43,66.56,38.79,2,3,0.6667
