slice_dimension,strategy_kind,label,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,state_correctness_hit_count,state_correctness_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,direction_hit_excl_flat_count,direction_obs_excl_flat,direction_hit_excl_flat_rate
regime_label,baseline_prev_day_direction,trending,4,2,0.5,,,,,,,73.54,80.96,45.77,2,4,0.5
regime_label,baseline_random_walk,trending,4,0,0.0,,,,,,,53.11,42.61,53.11,0,0,
regime_label,baseline_simple_technical,trending,4,3,0.75,,,,,,,45.01,38.42,25.67,3,4,0.75
regime_label,ugh_v2_alpha,trending,4,2,0.5,3,0.75,3,0.75,1,0.25,61.43,66.56,38.79,2,3,0.6667
regime_label,ugh_v2_beta,trending,4,2,0.5,3,0.75,3,0.75,1,0.25,59.33,64.59,38.66,2,3,0.6667
regime_label,ugh_v2_delta,trending,4,2,0.5,3,0.75,3,0.75,1,0.25,60.31,65.5,38.74,2,3,0.6667
regime_label,ugh_v2_gamma,trending,4,2,0.5,3,0.75,3,0.75,1,0.25,61.43,66.56,38.79,2,3,0.6667
volatility_label,baseline_prev_day_direction,low,1,1,1.0,,,,,,,3.96,3.96,3.96,1,1,1.0
volatility_label,baseline_prev_day_direction,normal,3,1,0.3333,,,,,,,96.73,85.23,59.71,1,3,0.3333
volatility_label,baseline_random_walk,low,1,0,0.0,,,,,,,29.22,29.22,29.22,0,0,
volatility_label,baseline_random_walk,normal,3,0,0.0,,,,,,,61.08,56.0,61.08,0,0,
volatility_label,baseline_simple_technical,low,1,1,1.0,,,,,,,8.51,8.51,8.51,1,1,1.0
volatility_label,baseline_simple_technical,normal,3,2,0.6667,,,,,,,57.18,65.52,31.39,2,3,0.6667
volatility_label,ugh_v2_alpha,low,1,1,1.0,1,1.0,1,1.0,0,0.0,10.62,10.62,10.62,1,1,1.0
volatility_label,ugh_v2_alpha,normal,3,1,0.3333,2,0.6667,2,0.6667,1,0.3333,78.36,101.28,48.18,1,2,0.5
volatility_label,ugh_v2_beta,low,1,1,1.0,1,1.0,1,1.0,0,0.0,6.17,6.17,6.17,1,1,1.0
volatility_label,ugh_v2_beta,normal,3,1,0.3333,2,0.6667,2,0.6667,1,0.3333,77.05,97.33,49.5,1,2,0.5
volatility_label,ugh_v2_delta,low,1,1,1.0,1,1.0,1,1.0,0,0.0,8.28,8.28,8.28,1,1,1.0
volatility_label,ugh_v2_delta,normal,3,1,0.3333,2,0.6667,2,0.6667,1,0.3333,77.66,99.16,48.89,1,2,0.5
volatility_label,ugh_v2_gamma,low,1,1,1.0,1,1.0,1,1.0,0,0.0,10.62,10.62,10.62,1,1,1.0
volatility_label,ugh_v2_gamma,normal,3,1,0.3333,2,0.6667,2,0.6667,1,0.3333,78.36,101.28,48.18,1,2,0.5
intervention_risk,baseline_prev_day_direction,high,1,0,0.0,,,,,,,128.27,128.27,75.65,0,1,0.0
intervention_risk,baseline_prev_day_direction,low,2,2,1.0,,,,,,,40.33,40.33,40.33,2,2,1.0
intervention_risk,baseline_prev_day_direction,medium,1,0,0.0,,,,,,,85.23,85.23,26.78,0,1,0.0
intervention_risk,baseline_random_walk,high,1,0,0.0,,,,,,,101.96,101.96,101.96,0,0,
intervention_risk,baseline_random_walk,low,2,0,0.0,,,,,,,27.24,27.24,27.24,0,0,
intervention_risk,baseline_random_walk,medium,1,0,0.0,,,,,,,56.0,56.0,56.0,0,0,
intervention_risk,baseline_simple_technical,high,1,1,1.0,,,,,,,65.52,65.52,65.52,1,1,1.0
intervention_risk,baseline_simple_technical,low,2,2,1.0,,,,,,,9.92,9.92,9.92,2,2,1.0
intervention_risk,baseline_simple_technical,medium,1,0,0.0,,,,,,,94.69,94.69,17.31,0,1,0.0
intervention_risk,ugh_v2_alpha,high,1,0,0.0,0,0.0,0,0.0,0,0.0,101.96,101.96,101.96,0,0,
intervention_risk,ugh_v2_alpha,low,2,2,1.0,2,1.0,2,1.0,0,0.0,21.23,21.23,21.23,2,2,1.0
intervention_risk,ugh_v2_alpha,medium,1,0,0.0,1,1.0,1,1.0,1,1.0,101.28,101.28,10.73,0,1,0.0
intervention_risk,ugh_v2_beta,high,1,0,0.0,0,0.0,0,0.0,0,0.0,101.96,101.96,101.96,0,0,
intervention_risk,ugh_v2_beta,low,2,2,1.0,2,1.0,2,1.0,0,0.0,19.01,19.01,19.01,2,2,1.0
intervention_risk,ugh_v2_beta,medium,1,0,0.0,1,1.0,1,1.0,1,1.0,97.33,97.33,14.68,0,1,0.0
intervention_risk,ugh_v2_delta,high,1,0,0.0,0,0.0,0,0.0,0,0.0,101.96,101.96,101.96,0,0,
intervention_risk,ugh_v2_delta,low,2,2,1.0,2,1.0,2,1.0,0,0.0,20.07,20.07,20.07,2,2,1.0
intervention_risk,ugh_v2_delta,medium,1,0,0.0,1,1.0,1,1.0,1,1.0,99.16,99.16,12.85,0,1,0.0
intervention_risk,ugh_v2_gamma,high,1,0,0.0,0,0.0,0,0.0,0,0.0,101.96,101.96,101.96,0,0,
intervention_risk,ugh_v2_gamma,low,2,2,1.0,2,1.0,2,1.0,0,0.0,21.23,21.23,21.23,2,2,1.0
intervention_risk,ugh_v2_gamma,medium,1,0,0.0,1,1.0,1,1.0,1,1.0,101.28,101.28,10.73,0,1,0.0
