forecast_id,forecast_batch_id,pair,strategy_kind,as_of_jst,window_end_jst,forecast_direction,expected_close_change_bp,expected_range_low,expected_range_high,primary_question,dominant_state,prob_dormant,prob_setup,prob_fire,prob_expansion,prob_exhaustion,prob_failure,q_dir,q_strength,s_q,temporal_score,grv_raw,grv_lock,alignment,e_star,mismatch_px,mismatch_sem,conviction,urgency,disconfirmer_rule_count,theory_version,engine_version,schema_version,protocol_version,market_data_vendor,market_data_feed_name,market_data_price_type,market_data_resolution,market_data_timezone
fc_USDJPY_20260507T080000_v1_baseline_prev_day_direction_919db0c53afc4c37,fb_USDJPY_20260507T080000_v1_307a71ca6a8cff31,USDJPY,baseline_prev_day_direction,2026-05-07T08:00:00+09:00,2026-05-08T08:00:00+09:00,down,-93.12048650703326,,,,,,,,,,,,,,,,,,,,,,,0,v1,v1,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260507T080000_v1_baseline_random_walk_789b622f606f64b4,fb_USDJPY_20260507T080000_v1_307a71ca6a8cff31,USDJPY,baseline_random_walk,2026-05-07T08:00:00+09:00,2026-05-08T08:00:00+09:00,flat,0.0,,,,,,,,,,,,,,,,,,,,,,,0,v1,v1,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260507T080000_v1_baseline_simple_technical_155a9bb625859b24,fb_USDJPY_20260507T080000_v1_307a71ca6a8cff31,USDJPY,baseline_simple_technical,2026-05-07T08:00:00+09:00,2026-05-08T08:00:00+09:00,down,-36.739662462830516,,,,,,,,,,,,,,,,,,,,,,,0,v1,v1,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
fc_USDJPY_20260507T080000_v1_ugh_f656aae30978accf,fb_USDJPY_20260507T080000_v1_307a71ca6a8cff31,USDJPY,ugh,2026-05-07T08:00:00+09:00,2026-05-08T08:00:00+09:00,down,-0.29000000000000004,155.78725,156.99274999999997,auto,fire,0.08242112715063393,0.21337349815063394,0.21959170137406994,0.1927589915450756,0.11281345113182147,0.17904123064776517,negative,1.0,0.4,1.0,0.06,0.0,1.0,-0.29000000000000004,0.71,0.0,0.8225,0.9177500000000001,0,v1,v1,v1,v1,alpha_vantage,FX_DAILY/USDJPY,mid,1d,UTC
